,index,Date,Open,High,Low,Close,Volume,Change
305,5476,2022-03-30,70300,70500,69800,69900,12670187,-0.004273504273504258
306,5477,2022-03-31,69900,70200,69600,69600,12510366,-0.0042918454935622075
307,5478,2022-04-01,69500,69500,69000,69100,15916846,-0.007183908045977017
308,5479,2022-04-04,68900,69300,68600,69300,11107905,0.0028943560057888007
309,5480,2022-04-05,69400,69600,69100,69200,8467248,-0.0014430014430014682
310,5481,2022-04-06,68600,68800,68500,68500,15517308,-0.010115606936416222
311,5482,2022-04-07,68500,68500,68000,68000,20683327,-0.007299270072992692
312,5483,2022-04-08,68100,68300,67700,67800,15453191,-0.002941176470588225
313,5484,2022-04-11,67800,68100,67400,67900,12263735,0.001474926253687281
314,5485,2022-04-12,67600,67700,67000,67000,13924389,-0.013254786450662692
315,5486,2022-04-13,67300,69000,67200,68700,17378619,0.025373134328358304
316,5487,2022-04-14,68700,68700,67500,67500,16409494,-0.017467248908296984
317,5488,2022-04-15,67200,67300,66500,66600,13176415,-0.013333333333333308
318,5489,2022-04-18,66500,67100,66100,66700,10119203,0.0015015015015014122
319,5490,2022-04-19,67100,68000,67000,67300,12959434,0.008995502248875464
320,5491,2022-04-20,67000,67400,66500,67400,16693293,0.0014858841010401136
321,5492,2022-04-21,67600,68300,67500,67700,12847448,0.004451038575667754
322,5493,2022-04-22,67200,67300,66700,67000,11791478,-0.010339734121122546
323,5494,2022-04-25,66500,66700,66300,66300,11016474,-0.010447761194029903
324,5495,2022-04-26,66400,66700,66100,66100,12946923,-0.003016591251885359
325,5496,2022-04-27,65400,65500,64900,65000,18122084,-0.016641452344931973
326,5497,2022-04-28,65400,65500,64500,64800,16895527,-0.003076923076923088
327,5498,2022-04-29,65100,67600,65000,67400,26190390,0.04012345679012341
328,5499,2022-05-02,66600,67600,66500,67300,14106184,-0.0014836795252225476
329,5500,2022-05-03,67400,68400,67300,67500,14168875,0.002971768202080227
330,5501,2022-05-04,68000,68400,67500,67900,11505248,0.00592592592592589
331,5502,2022-05-06,67000,67100,66500,66500,14356156,-0.020618556701030966
332,5503,2022-05-09,66300,66900,66100,66100,11858736,-0.006015037593984918
333,5504,2022-05-10,65900,66300,65300,65700,17235605,-0.006051437216338829
334,5505,2022-05-11,65500,66300,65200,65700,12330920,0.0
335,5506,2022-05-12,65200,65500,64900,64900,16414188,-0.0121765601217656
336,5507,2022-05-13,65300,66700,65200,66500,14551536,0.024653312788905923
337,5508,2022-05-16,67100,67400,66100,66300,11937555,-0.003007518796992459
338,5509,2022-05-17,66600,67900,66600,67600,15680447,0.019607843137254832
339,5510,2022-05-18,68300,68700,67600,68100,16486319,0.007396449704142105
340,5511,2022-05-19,66500,67600,66500,67500,17073727,-0.008810572687224627
341,5512,2022-05-20,67800,68400,67700,68000,12109671,0.007407407407407307
342,5513,2022-05-23,68800,68800,67600,67900,13684088,-0.0014705882352941124
343,5514,2022-05-24,67500,67700,66500,66500,15482576,-0.020618556701030966
344,5515,2022-05-25,66700,67100,65900,66400,15150490,-0.0015037593984962294
345,5516,2022-05-26,66300,67200,65500,65900,15970890,-0.0075301204819276935
346,5517,2022-05-27,66700,66900,66200,66500,11405555,0.009104704097116834
347,5518,2022-05-30,67500,67800,66900,67700,14255484,0.018045112781954975
348,5519,2022-05-31,67500,67500,66700,67400,24365002,-0.004431314623338234
349,5520,2022-06-02,66600,67000,66400,66700,14959443,-0.010385756676557834
350,5521,2022-06-03,67200,67300,66800,66800,8222883,0.0014992503748125774
351,5522,2022-06-07,66200,66400,65400,65500,19355755,-0.019461077844311392
352,5523,2022-06-08,65400,65700,65300,65300,12483180,-0.003053435114503844
353,5524,2022-06-09,65100,65200,64500,65200,25790725,-0.0015313935681470214
354,5525,2022-06-10,64000,64400,63800,63800,22193552,-0.021472392638036797
355,5526,2022-06-13,62400,62800,62100,62100,22157816,-0.026645768025078342
356,5527,2022-06-14,61200,62200,61100,61900,24606419,-0.0032206119162641045
357,5528,2022-06-15,61300,61500,60200,60700,26811224,-0.01938610662358642
358,5529,2022-06-16,61300,61800,60500,60900,23394895,0.0032948929159801743
359,5530,2022-06-17,59400,59900,59400,59800,29053450,-0.01806239737274218
360,5531,2022-06-20,59800,59900,58100,58700,34111306,-0.018394648829431426
361,5532,2022-06-21,58700,59200,58200,58500,25148109,-0.0034071550255536653
362,5533,2022-06-22,59000,59100,57600,57600,23334687,-0.01538461538461533
363,5534,2022-06-23,57700,58000,56800,57400,28338608,-0.00347222222222221
364,5535,2022-06-24,57900,59100,57700,58400,23256103,0.017421602787456525
365,5536,2022-06-27,59000,59900,58300,58800,18122236,0.006849315068493178
366,5537,2022-06-28,59200,59500,58700,59400,13540538,0.010204081632652962
367,5538,2022-06-29,58500,58800,58000,58000,14677138,-0.023569023569023573
368,5539,2022-06-30,57200,57600,57000,57000,18915142,-0.017241379310344862
369,5540,2022-07-01,56900,57500,55900,56200,24982097,-0.01403508771929829
370,5541,2022-07-04,56100,57400,55700,57100,17807126,0.016014234875444844
371,5542,2022-07-05,57600,58200,57200,57200,14216539,0.0017513134851139256
